No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,docker,165000,$33.21,54,77
2,docker container,12100,$4.40,4,89
3,dockerfile,8100,$2.98,1,70
4,hub docker,74000,$4.30,1,88
5,docker hub,74000,$3.26,1,85
6,docker station,40500,$1.15,100,83
7,installing docker in windows,27100,$1.64,1,59
8,docker windows installer,27100,$1.64,1,58
9,docker pants,27100,$5.87,100,84
10,compose docker,22200,$2,1,81
11,docker composer,22200,$3.89,1,90
12,docker desktop,22200,$1.40,2,90
13,desktop docker,22200,$1.40,2,90
14,docker run an image,22200,$0.86,1,79
15,docker compose,22200,$2,1,75
16,composer docker,22200,$3.89,1,73
17,dry docker,18100,$3.68,6,61
18,docker ubuntu install,14800,$2.08,1,17
19,run docker,14800,$3.16,1,80
20,install docker ubuntu,14800,$1.34,1,75
